id_sleeper,id_name,id_pos,adp_adp,adp_rank,adp_posrank,draft_year,draft_round
4984,Josh Allen,QB,1.6,1,1,2018,1
11566,Jayden Daniels,QB,2.12,2,2,2024,1
4881,Lamar Jackson,QB,3.28,3,3,2018,1
7564,Ja'Marr Chase,WR,4.61,4,1,2021,1
6770,Joe Burrow,QB,5.63,5,4,2020,1
6904,Jalen Hurts,QB,6.93,6,5,2020,2
6794,Justin Jefferson,WR,7.32,7,2,2020,1
11604,Brock Bowers,TE,9.12,8,1,2024,1
9509,Bijan Robinson,RB,10.05,9,1,2023,1
11632,Malik Nabers,WR,10.43,10,3,2024,1
9221,Jahmyr Gibbs,RB,11.34,11,2,2023,1
4046,Patrick Mahomes,QB,12.44,12,6,2017,1
6786,CeeDee Lamb,WR,13.1,13,4,2020,1
12527,Ashton Jeanty,RB,15.32,14,3,2025,
7547,Amon-Ra St. Brown,WR,15.98,15,5,2021,4
11631,Brian Thomas Jr.,WR,16.74,16,6,2024,1
9493,Puka Nacua,WR,17.25,17,7,2023,5
8130,Trey McBride,TE,19.74,18,2,2022,2
11560,Caleb Williams,QB,20.32,19,7,2024,1
4866,Saquon Barkley,RB,21.25,20,4,2018,1
6797,Justin Herbert,QB,21.64,21,8,2020,1
7569,Nico Collins,WR,23.17,22,8,2021,3
11564,Drake Maye,QB,23.89,23,9,2024,1
8112,Drake London,WR,24.39,24,9,2022,1
9758,C.J. Stroud,QB,25.03,25,10,2023,1
11563,Bo Nix,QB,25.61,26,11,2024,1
11628,Marvin Harrison Jr.,WR,27.83,27,10,2024,1
11635,Ladd McConkey,WR,28.02,28,11,2024,2
9226,Devon Achane,RB,30.73,29,5,2023,3
12507,Omarion Hampton,RB,30.78,30,6,2025,
9488,Jaxon Smith-Njigba,WR,32.65,31,12,2023,1
6804,Jordan Love,QB,34.37,32,12,2020,1
8146,Garrett Wilson,WR,34.96,33,13,2022,1
5859,A.J. Brown,WR,36.11,34,14,2019,2
11584,Bucky Irving,RB,37.04,35,7,2024,4
12530,Travis Hunter,WR,37.78,36,15,2025,
5849,Kyler Murray,QB,39.19,37,13,2019,1
8155,Breece Hall,RB,39.96,38,8,2022,2
12526,Tetairoa McMillan,WR,40.45,39,16,2025,
10859,Sam LaPorta,TE,41.02,40,3,2023,2
4892,Baker Mayfield,QB,43.88,41,14,2018,1
12522,Cam Ward,QB,44.22,42,15,2025,
6813,Jonathan Taylor,RB,44.49,43,9,2020,2
10229,Rashee Rice,WR,45.18,44,17,2023,2
12529,TreVeyon Henderson,RB,45.57,45,10,2025,
6801,Tee Higgins,WR,46.32,46,18,2020,2
8150,Kyren Williams,RB,46.97,47,11,2022,5
8183,Brock Purdy,QB,47.12,48,16,2022,7
7523,Trevor Lawrence,QB,48.91,49,17,2021,1
11565,J.J. McCarthy,QB,51.26,50,18,2024,1
12512,Quinshon Judkins,RB,51.71,51,12,2025,
8138,James Cook,RB,53.86,52,13,2022,2
5850,Josh Jacobs,RB,54.06,53,14,2019,1
11620,Rome Odunze,WR,54.82,54,19,2024,1
4034,Christian McCaffrey,RB,55.62,55,15,2017,1
3163,Jared Goff,QB,56.29,56,19,2016,1
11559,Michael Penix Jr.,QB,57.17,57,20,2024,1
9224,Chase Brown,RB,58.25,58,16,2023,5
7525,DeVonta Smith,WR,59.07,59,20,2021,1
12518,Tyler Warren,TE,62.47,60,4,2025,
11624,Xavier Worthy,WR,62.51,61,21,2024,1
3198,Derrick Henry,RB,62.79,62,17,2016,2
9997,Zay Flowers,WR,65.51,63,22,2023,1
8151,Kenneth Walker III,RB,66.56,64,18,2022,2
9228,Bryce Young,QB,66.64,65,21,2023,1
3294,Dak Prescott,QB,66.73,66,22,2016,4
5927,Terry McLaurin,WR,68.53,67,23,2019,3
12517,Colston Loveland,TE,69.08,68,5,2025,
12504,Kaleb Johnson,RB,69.49,69,19,2025,
4217,George Kittle,TE,70.1,70,6,2017,5
12489,RJ Harvey,RB,70.57,71,20,2025,
8144,Chris Olave,WR,70.99,72,24,2022,1
4983,D.J. Moore,WR,71.26,73,25,2018,1
9756,Jordan Addison,WR,71.45,74,26,2023,1
12514,Emeka Egbuka,WR,72.73,75,27,2025,
5844,T.J. Hockenson,TE,74.21,76,7,2019,1
7594,Chuba Hubbard,RB,76.59,77,21,2021,4
5846,D.K. Metcalf,WR,80.23,78,28,2019,2
7526,Jaylen Waddle,WR,80.53,79,29,2021,1
8148,Jameson Williams,WR,81.3,80,30,2022,1
7591,Justin Fields,QB,81.58,81,23,2021,1
4018,Joe Mixon,RB,83.1,82,22,2017,2
12501,Matthew Golden,WR,83.23,83,31,2025,
8137,George Pickens,WR,84.51,84,32,2022,2
3321,Tyreek Hill,WR,84.7,85,33,2016,5
6768,Tua Tagovailoa,QB,89.1,86,24,2020,1
4035,Alvin Kamara,RB,89.47,87,23,2017,3
12508,Jaxson Dart,QB,91.42,88,25,2025,
6783,Jerry Jeudy,WR,91.7,89,34,2020,1
2216,Mike Evans,WR,91.98,90,35,2014,1
12519,Luther Burden,WR,92.64,91,36,2025,
5892,David Montgomery,RB,92.92,92,24,2019,3
6803,Brandon Aiyuk,WR,94.62,93,37,2020,1
10236,Dalton Kincaid,TE,96.13,94,8,2023,1
11638,Ricky Pearsall,WR,98.73,95,38,2024,1
4943,Sam Darnold,QB,99.51,96,26,2018,1
12484,Jayden Higgins,WR,99.71,97,39,2025,
8205,Isiah Pacheco,RB,101.27,98,25,2022,7
12481,Cam Skattebo,RB,101.31,99,26,2025,
5012,Mark Andrews,TE,101.81,100,9,2018,3
12509,Tre Harris,WR,103.52,101,40,2025,
9229,Anthony Richardson,QB,104.09,102,27,2023,1
2133,Davante Adams,WR,106,103,41,2014,2
9484,Tucker Kraft,TE,106.55,104,10,2023,3
5045,Courtland Sutton,WR,106.8,105,42,2018,2
10222,Jayden Reed,WR,106.92,106,43,2023,2
9500,Josh Downs,WR,106.94,107,44,2023,3
8154,Brian Robinson Jr.,RB,107.46,108,27,2022,3
7553,Kyle Pitts,TE,107.49,109,11,2021,1
4037,Chris Godwin,WR,109.17,110,45,2017,3
6790,D'Andre Swift,RB,110.84,111,28,2020,2
4137,James Conner,RB,111.23,112,29,2017,3
7543,Travis Etienne,RB,111.68,113,30,2021,1
8134,Khalil Shakir,WR,111.81,114,46,2022,5
1373,Geno Smith,QB,114.09,115,28,2013,2
11655,Tyrone Tracy,RB,114.34,116,31,2024,5
4033,David Njoku,TE,115.06,117,12,2017,1
11637,Keon Coleman,WR,117.16,118,47,2024,2
9753,Zach Charbonnet,RB,120.98,119,32,2023,2
