Name,Position,Team
"Roschon Johnson","RB","CHI"
"Frank Gore","RB",""
"Ray Davis","RB","BUF"
"Malik Washington","WR","MIA"
"Xavier Worthy","WR","KC"
"Jermaine Burton","WR","CIN"
"Bub Means","WR","NO"
"Devaughn Vele","WR","DEN"
"Jacoby Brissett","QB","ARI"
"Ka'imi Fairbairn","K","HOU"
"Deshaun Watson","QB","CLE"
"Josh Reynolds","WR","NYJ"
"Kyler Murray","QB","ARI"
"Dawson Knox","TE","BUF"
"Jakobi Meyers","WR","LV"
"Matthew Wright","K","CAR"
"CeeDee Lamb","WR","DAL"
"Clyde Edwards-Helaire","RB","NO"
"K.J. Osborn","WR","WAS"
"Cade Otton","TE","TB"
"Jahan Dotson","WR","PHI"
"Dameon Pierce","RB","HOU"
"John Metchie","WR","HOU"
"Skyy Moore","WR","KC"
"Greg Dulcich","TE","NYG"
"Kayshon Boutte","WR","NE"
"Bijan Robinson","RB","ATL"
"Dallas Cowboys","DEF","DAL"
"Philadelphia Eagles","DEF","PHI"
"2025 1st (originally 94Sleeper)","PICK",""
"2025 2nd (originally 94Sleeper)","PICK",""
"2025 3rd (originally 94Sleeper)","PICK",""
"2025 4th (originally 94Sleeper)","PICK",""
"2025 5th (originally 94Sleeper)","PICK",""
"2026 1st (originally 94Sleeper)","PICK",""
"2026 2nd (originally 94Sleeper)","PICK",""
"2026 3rd (originally 94Sleeper)","PICK",""
"2026 4th (originally 94Sleeper)","PICK",""
"2026 5th (originally 94Sleeper)","PICK",""
"2025 3rd (originally samdecker)","PICK",""
"Jonathan Mingo","WR","DAL"
"Dalton Kincaid","TE","BUF"
"Joe Milton","QB","DAL"
"Michael Penix","QB","ATL"
"Cade Stover","TE","HOU"
"Russell Wilson","QB","NYG"
"Alvin Kamara","RB","NO"
"Kendrick Bourne","WR","NE"
"Sam Darnold","QB","SEA"
"A.J. Brown","WR","PHI"
"Tua Tagovailoa","QB","MIA"
"D'Andre Swift","RB","CHI"
"Brandon Aiyuk","WR","SF"
"Jaylen Waddle","WR","MIA"
"Travis Etienne","RB","JAX"
"Trey Lance","QB","LAC"
"Joshua Palmer","WR","BUF"
"Evan McPherson","K","CIN"
"Brian Robinson","RB","WAS"
"Andy Dalton","QB","CAR"
"Jordan Mason","RB","MIN"
"Tank Dell","WR","HOU"
"Deuce Vaughn","RB","DAL"
"Quentin Johnston","WR","LAC"
"Will Levis","QB","TEN"
"Buffalo Bills","DEF","BUF"
"Houston Texans","DEF","HOU"
"2026 1st (originally samdecker)","PICK",""
"2026 2nd (originally samdecker)","PICK",""
"2026 3rd (originally samdecker)","PICK",""
"2026 4th (originally samdecker)","PICK",""
"2026 5th (originally samdecker)","PICK",""
"2025 2nd (originally connormolloy34)","PICK",""
"2025 3rd (originally connormolloy34)","PICK",""
"2025 3rd (originally EricM14)","PICK",""
"Kenny McIntosh","RB","SEA"
"Chris Rodriguez","RB","WAS"
"Xavier Legette","WR","CAR"
"Luke McCaffrey","WR","WAS"
"Justin Tucker","K",""
"Davante Adams","WR","LAR"
"Amari Cooper","WR",""
"Ameer Abdullah","RB",""
"Ezekiel Elliott","RB",""
"Cooper Kupp","WR","SEA"
"Noah Brown","WR","WAS"
"Mark Andrews","TE","BAL"
"Tyler Conklin","TE","LAC"
"Drew Lock","QB","SEA"
"Daniel Jones","QB","IND"
"Terry McLaurin","WR","WAS"
"Darius Slayton","WR","NYG"
"Jonathan Taylor","RB","IND"
"Kadarius Toney","WR",""
"Wan'Dale Robinson","WR","NYG"
"Alec Pierce","WR","IND"
"Jalin Hyatt","WR","NYG"
"C.J. Stroud","QB","HOU"
"Hendon Hooker","QB","DET"
"Baltimore Ravens","DEF","BAL"
"New York Giants","DEF","NYG"
"2025 3rd (originally JoshAllenFuksUrTeam)","PICK",""
"2025 4th (originally JoshAllenFuksUrTeam)","PICK",""
"2025 5th (originally JoshAllenFuksUrTeam)","PICK",""
"2026 1st (originally JoshAllenFuksUrTeam)","PICK",""
"2026 2nd (originally JoshAllenFuksUrTeam)","PICK",""
"2026 3rd (originally JoshAllenFuksUrTeam)","PICK",""
"2026 4th (originally JoshAllenFuksUrTeam)","PICK",""
"2026 5th (originally JoshAllenFuksUrTeam)","PICK",""
"2025 2nd (originally JoshAllenFuksUrTeam)","PICK",""
"MarShawn Lloyd","RB","GB"
"Blake Corum","RB","LAR"
"Ben Sinnott","TE","WAS"
"Rome Odunze","WR","CHI"
"Geno Smith","QB","LV"
"Adam Thielen","WR","CAR"
"Marcus Mariota","QB","WAS"
"Hunter Henry","TE","NE"
"Tyler Higbee","TE","LAR"
"Chris Godwin","WR","TB"
"Cooper Rush","QB","BAL"
"Younghoe Koo","K","ATL"
"Baker Mayfield","QB","TB"
"Mason Rudolph","QB","PIT"
"David Montgomery","RB","DET"
"Nico Collins","WR","HOU"
"Dyami Brown","WR","JAX"
"Javonte Williams","RB","DAL"
"Rachaad White","RB","TB"
"Cameron Dicker","K","LAC"
"Brenton Strange","TE","JAX"
"DeMario Douglas","WR","NE"
"Jordan Addison","WR","MIN"
"Kansas City Chiefs","DEF","KC"
"2025 1st (originally JustinBondi)","PICK",""
"2025 5th (originally JustinBondi)","PICK",""
"2026 1st (originally JustinBondi)","PICK",""
"2026 2nd (originally JustinBondi)","PICK",""
"2026 3rd (originally JustinBondi)","PICK",""
"2026 4th (originally JustinBondi)","PICK",""
"2026 5th (originally JustinBondi)","PICK",""
"2025 5th (originally samdecker)","PICK",""
"2025 5th (originally TommyFink)","PICK",""
